accept:fd=4.
accept:fd=5.
accept:fd=6.
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=0).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=14).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=13).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=12).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=14).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=13).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=12).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=15).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=14).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=13).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=12).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=15).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=14).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=13).
connection closed:fd=4
connection closed:fd=5
connection closed:fd=6
connection closed:fd=7
connection closed:fd=8
connection closed:fd=10
connection closed:fd=12
connection closed:fd=13
connection closed:fd=11
connection closed:fd=9
